item_id,item_name,category,unit_cost,annual_demand
SKU-001,Running Shoes,Footwear,59.99,12000
SKU-002,Leather Boots,Footwear,89.99,4500
SKU-003,Sandals,Footwear,24.99,18000
SKU-004,Cotton Ankle Socks,Accessories,3.99,100000
SKU-005,Leather Wallet,Accessories,29.99,8000
SKU-006,Silk Scarf,Accessories,19.99,6500
SKU-007,Baseball Cap,Accessories,14.99,22000
SKU-008,Basic Hair Ties,Accessories,1.99,45000
SKU-009,Polarized Sunglasses,Accessories,39.99,11000
SKU-010,Canvas Tote Bag,Accessories,12.99,15000
SKU-011,Braided Leather Belt,Accessories,24.99,9000
SKU-012,Wool Beanie,Accessories,17.99,13000
SKU-013,Designer Handbag,Accessories,149.99,2500
SKU-014,Plastic Rain Poncho,Apparel,8.99,45000
SKU-015,Denim Jacket,Apparel,79.99,5000
SKU-016,Cotton T-Shirt,Apparel,14.99,35000
SKU-017,Formal Dress Shirt,Apparel,39.99,8000
SKU-018,Yoga Pants,Apparel,34.99,12000
SKU-019,Winter Coat,Apparel,129.99,3000
SKU-020,Casual Shorts,Apparel,22.99,20000
SKU-021,Silk Evening Gown,Apparel,199.99,800
SKU-022,Linen Trousers,Apparel,44.99,6000
SKU-023,Sports Bra,Apparel,28.99,18000
SKU-024,Hoodie Sweatshirt,Apparel,49.99,14000
